mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
-0.026,0.123,-0.278,0.201,0.002,0.002,3167.0,3019.0,1.0,106,1973
-0.027,0.126,-0.272,0.226,0.003,0.002,1606.0,1186.0,1.0,111,1972
-0.031,0.125,-0.29,0.201,0.002,0.002,4381.0,3158.0,1.0,116,1976
-0.035,0.123,-0.257,0.223,0.002,0.002,4502.0,5060.0,1.0,121,1970
-0.028,0.127,-0.299,0.217,0.004,0.003,1168.0,433.0,1.0,126,1935
-0.034,0.123,-0.277,0.201,0.002,0.002,2695.0,3855.0,1.0,131,1950
-0.033,0.122,-0.268,0.222,0.002,0.002,4091.0,4212.0,1.0,38,1952
-0.033,0.126,-0.273,0.211,0.002,0.002,3054.0,3273.0,1.0,43,1965
-0.028,0.126,-0.276,0.212,0.003,0.002,2023.0,1480.0,1.0,48,2018
-0.03,0.125,-0.28,0.216,0.002,0.002,2596.0,1244.0,1.0,50,1971
-0.032,0.126,-0.281,0.208,0.003,0.002,2534.0,1082.0,1.0,55,1996
-0.027,0.125,-0.265,0.219,0.003,0.002,1928.0,2032.0,1.0,60,2011
-0.031,0.123,-0.287,0.193,0.002,0.002,5273.0,3770.0,1.0,65,1995
-0.031,0.123,-0.28,0.194,0.002,0.002,2862.0,1375.0,1.0,70,1967
-0.027,0.125,-0.272,0.226,0.004,0.003,1338.0,379.0,1.0,75,2016
-0.034,0.123,-0.276,0.203,0.002,0.002,2940.0,2380.0,1.0,80,1982
-0.028,0.121,-0.278,0.197,0.002,0.002,4153.0,3978.0,1.0,85,1957
-0.029,0.127,-0.272,0.234,0.003,0.002,1800.0,948.0,1.0,53,1999
-0.034,0.123,-0.275,0.21,0.002,0.002,4744.0,4261.0,1.0,58,2015
-0.03,0.129,-0.288,0.219,0.003,0.002,2297.0,2429.0,1.0,63,0
-0.029,0.123,-0.275,0.201,0.002,0.002,2713.0,2985.0,1.0,68,2004
-0.035,0.124,-0.272,0.214,0.002,0.002,3575.0,3598.0,1.0,-48,1988
-0.032,0.12,-0.263,0.204,0.002,0.002,6108.0,4735.0,1.0,-43,1989
-0.032,0.127,-0.279,0.214,0.002,0.002,2984.0,4399.0,1.0,-26,1951
-0.026,0.125,-0.266,0.225,0.002,0.002,3159.0,2386.0,1.0,-41,1968
-0.035,0.13,-0.275,0.234,0.003,0.004,2469.0,1281.0,1.0,-36,1983
-0.027,0.121,-0.268,0.205,0.002,0.002,3271.0,3434.0,1.0,-31,1991
-0.026,0.126,-0.262,0.226,0.003,0.002,2169.0,985.0,1.0,46,1987
-0.037,0.127,-0.283,0.222,0.003,0.004,1676.0,748.0,1.0,51,1992
-0.025,0.129,-0.265,0.237,0.003,0.002,1549.0,906.0,1.0,-46,2008
-0.034,0.126,-0.279,0.21,0.003,0.003,1470.0,730.0,1.0,-29,1979
-0.028,0.124,-0.27,0.22,0.002,0.002,5569.0,3419.0,1.0,-24,2000
-0.032,0.126,-0.272,0.226,0.003,0.002,2007.0,2913.0,1.0,-19,1961
-0.054,0.114,-0.27,0.174,0.001,0.001,5946.0,4672.0,1.0,-14,1975
-0.092,0.113,-0.31,0.13,0.002,0.001,4649.0,4782.0,1.0,-9,1997
-0.051,0.11,-0.264,0.168,0.001,0.002,5609.0,3854.0,1.0,-4,1889
-0.069,0.114,-0.297,0.143,0.002,0.002,2245.0,841.0,1.0,1,1973
-0.029,0.126,-0.263,0.226,0.003,0.003,2158.0,1413.0,1.0,6,1972
-0.031,0.124,-0.259,0.221,0.002,0.002,4372.0,4322.0,1.0,11,1976
-0.031,0.122,-0.264,0.209,0.002,0.002,6491.0,3844.0,1.0,16,1970
-0.032,0.127,-0.295,0.208,0.002,0.002,3461.0,3337.0,1.0,21,1935
0.025,0.117,-0.205,0.254,0.002,0.002,2772.0,955.0,1.0,-45,1950
0.015,0.11,-0.218,0.217,0.002,0.002,3224.0,1276.0,1.0,-40,1952
0.046,0.116,-0.171,0.287,0.002,0.002,6005.0,3884.0,1.0,-35,1965
0.057,0.119,-0.173,0.289,0.002,0.001,4137.0,4771.0,1.0,-30,2018
0.051,0.132,-0.194,0.326,0.004,0.003,991.0,465.0,1.0,-25,1971
0.053,0.127,-0.19,0.295,0.003,0.002,1782.0,986.0,1.0,-20,1996
-0.06,0.109,-0.272,0.154,0.002,0.002,4914.0,3488.0,1.0,-15,2011
-0.05,0.113,-0.262,0.183,0.002,0.002,3371.0,2183.0,1.0,-13,1995
-0.068,0.113,-0.281,0.161,0.002,0.002,3898.0,3382.0,1.0,-12,1967
-0.088,0.115,-0.307,0.146,0.002,0.002,2832.0,3275.0,1.0,-11,2016
-0.08,0.118,-0.31,0.141,0.003,0.002,1769.0,1557.0,1.0,-10,1982
-0.06,0.114,-0.283,0.164,0.002,0.002,3795.0,2463.0,1.0,-8,1957
-0.067,0.114,-0.277,0.17,0.002,0.002,2228.0,2755.0,1.0,-7,1999
-0.078,0.112,-0.299,0.149,0.001,0.002,5794.0,3351.0,1.0,-6,2015
-0.076,0.114,-0.304,0.146,0.002,0.001,4576.0,3331.0,1.0,-5,0
-0.041,0.11,-0.252,0.175,0.002,0.001,4031.0,4708.0,1.0,-3,2004
-0.078,0.114,-0.285,0.152,0.002,0.002,3220.0,3596.0,1.0,-2,1988
-0.064,0.114,-0.272,0.167,0.003,0.002,1753.0,1332.0,1.0,-1,1989
-0.081,0.12,-0.34,0.136,0.004,0.003,1109.0,687.0,1.01,0,1951
-0.027,0.124,-0.274,0.21,0.002,0.002,2567.0,2913.0,1.0,2,1968
-0.035,0.127,-0.301,0.202,0.004,0.003,1173.0,518.0,1.01,3,1983
-0.028,0.125,-0.274,0.217,0.002,0.002,4779.0,4132.0,1.0,4,1991
-0.025,0.113,-0.256,0.187,0.003,0.002,1393.0,1466.0,1.0,5,1987
-0.031,0.126,-0.279,0.207,0.003,0.002,2177.0,2489.0,1.0,-34,1992
-0.034,0.128,-0.283,0.231,0.003,0.003,1759.0,676.0,1.0,7,2008
-0.03,0.122,-0.282,0.201,0.001,0.002,7309.0,3875.0,1.0,8,1979
-0.029,0.122,-0.274,0.202,0.002,0.002,4886.0,4588.0,1.0,9,2000
-0.032,0.126,-0.282,0.208,0.002,0.002,2817.0,3839.0,1.0,10,1961
-0.029,0.126,-0.277,0.217,0.002,0.002,3974.0,3449.0,1.0,12,1975
-0.031,0.121,-0.279,0.198,0.002,0.002,4754.0,4861.0,1.0,13,1997
-0.028,0.126,-0.293,0.21,0.002,0.002,2788.0,1026.0,1.0,14,1889
-0.03,0.121,-0.274,0.2,0.002,0.002,4084.0,4504.0,1.0,15,1973
-0.035,0.128,-0.294,0.217,0.004,0.003,1364.0,470.0,1.0,-18,1972
-0.03,0.126,-0.273,0.225,0.002,0.002,4202.0,2116.0,1.0,17,1976
-0.03,0.126,-0.279,0.211,0.002,0.002,2849.0,3237.0,1.0,22,1970
-0.032,0.121,-0.264,0.209,0.002,0.002,4434.0,4130.0,1.0,27,1935
-0.035,0.126,-0.288,0.198,0.003,0.002,1901.0,1127.0,1.0,32,1950
-0.028,0.125,-0.271,0.213,0.002,0.002,2960.0,3281.0,1.0,26,1952
-0.029,0.124,-0.272,0.213,0.002,0.002,3012.0,3412.0,1.0,31,1965
-0.031,0.124,-0.282,0.201,0.002,0.002,3721.0,1445.0,1.0,19,2018
-0.039,0.128,-0.297,0.189,0.004,0.003,1237.0,1758.0,1.0,24,1971
-0.031,0.125,-0.273,0.217,0.002,0.002,3982.0,3554.0,1.0,29,1996
-0.033,0.128,-0.285,0.226,0.003,0.003,1745.0,628.0,1.0,34,2011
-0.029,0.125,-0.265,0.228,0.002,0.002,4599.0,2224.0,1.0,39,1995
-0.037,0.12,-0.272,0.2,0.002,0.002,4880.0,4678.0,1.0,44,1967
-0.031,0.124,-0.261,0.225,0.002,0.002,4208.0,3471.0,1.0,49,2016
-0.027,0.125,-0.261,0.215,0.003,0.002,1686.0,3938.0,1.0,54,1982
-0.028,0.124,-0.279,0.21,0.002,0.002,2867.0,1784.0,1.0,59,1957
-0.029,0.126,-0.282,0.208,0.002,0.002,3825.0,4009.0,1.0,64,1999
-0.033,0.124,-0.265,0.211,0.003,0.002,1633.0,2534.0,1.0,69,2015
-0.034,0.126,-0.295,0.195,0.003,0.003,2141.0,1181.0,1.0,37,0
-0.03,0.126,-0.291,0.203,0.003,0.003,1832.0,726.0,1.0,42,2004
-0.031,0.122,-0.264,0.214,0.002,0.002,4783.0,2243.0,1.0,47,1988
-0.03,0.121,-0.264,0.199,0.002,0.002,3038.0,3777.0,1.0,52,1989
-0.031,0.124,-0.272,0.202,0.002,0.002,3703.0,4435.0,1.0,-21,1951
-0.03,0.123,-0.263,0.222,0.002,0.002,3383.0,1748.0,1.0,-16,1968
-0.03,0.124,-0.269,0.219,0.002,0.002,4134.0,1805.0,1.0,-17,1983
-0.026,0.124,-0.273,0.205,0.002,0.002,4007.0,2397.0,1.0,18,1991
-0.03,0.129,-0.274,0.231,0.003,0.004,2251.0,1099.0,1.0,20,1987
-0.029,0.126,-0.265,0.22,0.002,0.002,4413.0,2805.0,1.0,23,1992
-0.03,0.123,-0.283,0.201,0.002,0.002,2931.0,1639.0,1.0,25,2008
-0.032,0.125,-0.27,0.213,0.003,0.002,1875.0,2140.0,1.0,28,1979
-0.027,0.124,-0.274,0.22,0.003,0.002,1416.0,498.0,1.0,30,2000
-0.028,0.126,-0.279,0.212,0.003,0.002,2447.0,3445.0,1.0,33,1961
-0.034,0.122,-0.267,0.213,0.002,0.002,3218.0,1595.0,1.0,-22,1975
-0.029,0.126,-0.267,0.231,0.002,0.002,2700.0,2546.0,1.0,-38,1997
-0.031,0.125,-0.282,0.202,0.003,0.002,2014.0,1461.0,1.0,-33,1889
-0.035,0.129,-0.298,0.206,0.003,0.003,1965.0,1105.0,1.0,-28,1973
-0.031,0.125,-0.275,0.215,0.002,0.002,2836.0,2987.0,1.0,-23,1972
-0.033,0.122,-0.279,0.195,0.003,0.002,1817.0,1052.0,1.0,36,1976
-0.034,0.126,-0.278,0.213,0.003,0.003,2571.0,1189.0,1.0,41,1970
-0.03,0.126,-0.283,0.203,0.003,0.002,1933.0,1495.0,1.0,35,1935
-0.034,0.125,-0.273,0.206,0.002,0.002,2686.0,1395.0,1.0,40,1950
-0.032,0.125,-0.266,0.211,0.002,0.002,2563.0,1489.0,1.0,45,1952
-0.03,0.125,-0.285,0.215,0.002,0.002,4093.0,3842.0,1.0,-27,1965
-0.03,0.125,-0.28,0.212,0.002,0.002,4457.0,4300.0,1.0,81,2018
-0.032,0.124,-0.267,0.222,0.003,0.002,2128.0,960.0,1.0,86,1971
-0.028,0.128,-0.261,0.235,0.003,0.002,2307.0,1375.0,1.0,91,1996
-0.035,0.134,-0.291,0.236,0.004,0.006,1206.0,486.0,1.01,96,2011
-0.032,0.123,-0.265,0.21,0.002,0.002,4161.0,4303.0,1.0,101,1995
-0.034,0.127,-0.282,0.207,0.003,0.002,2507.0,1441.0,1.0,106,1967
-0.032,0.126,-0.275,0.212,0.003,0.003,1748.0,731.0,1.0,111,2016
-0.031,0.125,-0.269,0.216,0.002,0.002,4576.0,4128.0,1.0,116,1982
-0.032,0.125,-0.271,0.214,0.002,0.002,3065.0,2513.0,1.0,121,1957
-0.031,0.126,-0.283,0.214,0.002,0.002,2936.0,1716.0,1.0,126,1999
-0.033,0.126,-0.286,0.202,0.002,0.002,3566.0,3350.0,1.0,131,2015
-0.038,0.125,-0.29,0.197,0.004,0.003,1244.0,486.0,1.0,38,0
-0.031,0.125,-0.278,0.212,0.002,0.002,3661.0,2778.0,1.0,43,2004
-0.028,0.126,-0.276,0.225,0.002,0.002,3913.0,2789.0,1.0,48,1988
-0.035,0.128,-0.308,0.202,0.004,0.004,1391.0,458.0,1.0,50,1989
-0.033,0.121,-0.267,0.207,0.002,0.002,4364.0,2532.0,1.0,55,1951
-0.031,0.123,-0.264,0.214,0.002,0.002,3273.0,1958.0,1.0,60,1968
-0.031,0.122,-0.273,0.199,0.002,0.002,3269.0,3296.0,1.0,65,1983
-0.031,0.126,-0.281,0.21,0.002,0.002,3688.0,3810.0,1.0,70,1991
