island,year,island_id,region_code,region,prefecture_code,pref,population,dummy_has_bridge,dummy_connect_mainland_by_bridge,bridge_opened_year,dummy_after_bridge_build,connect_mainland_year,dummy_after_connect_mainland,income
西ノ島,2019,2,32526,西ノ島町,32,島根県,2811,0,0,0,0,0,0,3527264
西ノ島,2020,2,32526,西ノ島町,32,島根県,2758,0,0,0,0,0,0,3554767
知夫里島,1985,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,788959
知夫里島,1986,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,770724
知夫里島,1987,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,701780
知夫里島,1988,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,686105
知夫里島,1989,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,659100
知夫里島,1990,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,634627
知夫里島,1991,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,608907
知夫里島,1992,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,572685
知夫里島,1993,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,561321
知夫里島,1994,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,546775
知夫里島,1995,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,535779
知夫里島,1996,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,551117
知夫里島,1997,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,539449
知夫里島,1998,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,549030
知夫里島,1999,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,562751
知夫里島,2000,3,32527,知夫村,32,島根県,,0,0,0,0,0,0,599370
知夫里島,2001,3,32527,知夫村,32,島根県,748,0,0,0,0,0,0,606605
知夫里島,2002,3,32527,知夫村,32,島根県,757,0,0,0,0,0,0,571624
知夫里島,2003,3,32527,知夫村,32,島根県,784,0,0,0,0,0,0,610982
知夫里島,2004,3,32527,知夫村,32,島根県,766,0,0,0,0,0,0,694685
知夫里島,2005,3,32527,知夫村,32,島根県,744,0,0,0,0,0,0,718083
知夫里島,2006,3,32527,知夫村,32,島根県,734,0,0,0,0,0,0,721636
知夫里島,2007,3,32527,知夫村,32,島根県,709,0,0,0,0,0,0,762708
知夫里島,2008,3,32527,知夫村,32,島根県,691,0,0,0,0,0,0,770656
知夫里島,2009,3,32527,知夫村,32,島根県,663,0,0,0,0,0,0,744475
知夫里島,2010,3,32527,知夫村,32,島根県,640,0,0,0,0,0,0,726139
知夫里島,2011,3,32527,知夫村,32,島根県,646,0,0,0,0,0,0,714627
知夫里島,2012,3,32527,知夫村,32,島根県,602,0,0,0,0,0,0,722645
知夫里島,2013,3,32527,知夫村,32,島根県,588,0,0,0,0,0,0,713449
知夫里島,2014,3,32527,知夫村,32,島根県,586,0,0,0,0,0,0,690145
知夫里島,2015,3,32527,知夫村,32,島根県,586,0,0,0,0,0,0,638185
知夫里島,2016,3,32527,知夫村,32,島根県,596,0,0,0,0,0,0,599831
知夫里島,2017,3,32527,知夫村,32,島根県,603,0,0,0,0,0,0,575455
知夫里島,2018,3,32527,知夫村,32,島根県,615,0,0,0,0,0,0,603904
知夫里島,2019,3,32527,知夫村,32,島根県,636,0,0,0,0,0,0,557754
知夫里島,2020,3,32527,知夫村,32,島根県,632,0,0,0,0,0,0,549099
大島&江島,1985,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4019379
大島&江島,1986,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4191247
大島&江島,1987,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4416727
大島&江島,1988,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4446707
大島&江島,1989,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4236624
大島&江島,1990,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4388735
大島&江島,1991,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4513230
大島&江島,1992,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4399633
大島&江島,1993,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4305862
大島&江島,1994,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,4098648
大島&江島,1995,4,32308,（旧）八束町,32,島根県,4597,1,1,2004,0,2004,0,4017388
大島&江島,1996,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,3660904
大島&江島,1997,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,3392344
大島&江島,1998,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,3035484
大島&江島,1999,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,2738515
大島&江島,2000,4,32308,（旧）八束町,32,島根県,4583,1,1,2004,0,2004,0,2659843
大島&江島,2001,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,2368238
大島&江島,2002,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,2262965
大島&江島,2003,4,32308,（旧）八束町,32,島根県,,1,1,2004,0,2004,0,2130537
大島&江島,2004,4,32308,（旧）八束町,32,島根県,,1,1,2004,1,2004,1,2041008
大島&江島,2005,4,32201,松江市,32,島根県,,1,1,2004,1,2004,1,253268071
大島&江島,2010,4,32201,松江市,32,島根県,4072,1,1,2004,1,2004,1,240278829
大島&江島,2015,4,32201,松江市,32,島根県,3842,1,1,2004,1,2004,1,259880791
大島&江島,2020,4,32201,松江市,32,島根県,3793,1,1,2004,1,2004,1,283812269
鹿久居島,1995,6,33342,日生町,33,岡山県,45,1,1,2015,0,2015,0,11861918
鹿久居島,2000,6,33342,日生町,33,岡山県,,1,1,2015,0,2015,0,11051911
鹿久居島,2001,6,33342,日生町,33,岡山県,17,1,1,2015,0,2015,0,10462327
鹿久居島,2002,6,33342,日生町,33,岡山県,17,1,1,2015,0,2015,0,10358654
鹿久居島,2003,6,33342,日生町,33,岡山県,15,1,1,2015,0,2015,0,9300346
鹿久居島,2004,6,33342,日生町,33,岡山県,13,1,1,2015,0,2015,0,8545679
鹿久居島,2005,6,33211,備前市,33,岡山県,13,1,1,2015,0,2015,0,44222532
鹿久居島,2006,6,33211,備前市,33,岡山県,12,1,1,2015,0,2015,0,46734208
鹿久居島,2007,6,33211,備前市,33,岡山県,14,1,1,2015,0,2015,0,46506237
鹿久居島,2008,6,33211,備前市,33,岡山県,13,1,1,2015,0,2015,0,45984323
鹿久居島,2009,6,33211,備前市,33,岡山県,12,1,1,2015,0,2015,0,44932159
鹿久居島,2010,6,33211,備前市,33,岡山県,12,1,1,2015,0,2015,0,40356826
鹿久居島,2011,6,33211,備前市,33,岡山県,13,1,1,2015,0,2015,0,40249880
鹿久居島,2012,6,33211,備前市,33,岡山県,13,1,1,2015,0,2015,0,40173600
鹿久居島,2013,6,33211,備前市,33,岡山県,11,1,1,2015,0,2015,0,39041221
鹿久居島,2014,6,33211,備前市,33,岡山県,11,1,1,2015,0,2015,0,38107725
鹿久居島,2015,6,33211,備前市,33,岡山県,10,1,1,2015,1,2015,1,38095548
鹿久居島,2016,6,33211,備前市,33,岡山県,10,1,1,2015,1,2015,1,37722427
鹿久居島,2017,6,33211,備前市,33,岡山県,,1,1,2015,1,2015,1,37785972
鹿久居島,2018,6,33211,備前市,33,岡山県,,1,1,2015,1,2015,1,38392197
鹿久居島,2019,6,33211,備前市,33,岡山県,,1,1,2015,1,2015,1,38345203
鹿久居島,2020,6,33211,備前市,33,岡山県,,1,1,2015,1,2015,1,38326682
大多府島,1995,7,33342,日生町,33,岡山県,154,0,0,0,0,0,0,11861918
大多府島,2000,7,33342,日生町,33,岡山県,,0,0,0,0,0,0,11051911
大多府島,2001,7,33342,日生町,33,岡山県,160,0,0,0,0,0,0,10462327
大多府島,2002,7,33342,日生町,33,岡山県,159,0,0,0,0,0,0,10358654
大多府島,2003,7,33342,日生町,33,岡山県,153,0,0,0,0,0,0,9300346
大多府島,2004,7,33342,日生町,33,岡山県,150,0,0,0,0,0,0,8545679
大多府島,2005,7,33211,備前市,33,岡山県,145,0,0,0,0,0,0,44222532
大多府島,2006,7,33211,備前市,33,岡山県,142,0,0,0,0,0,0,46734208
大多府島,2007,7,33211,備前市,33,岡山県,140,0,0,0,0,0,0,46506237
大多府島,2008,7,33211,備前市,33,岡山県,128,0,0,0,0,0,0,45984323
大多府島,2009,7,33211,備前市,33,岡山県,124,0,0,0,0,0,0,44932159
大多府島,2010,7,33211,備前市,33,岡山県,118,0,0,0,0,0,0,40356826
大多府島,2011,7,33211,備前市,33,岡山県,107,0,0,0,0,0,0,40249880
大多府島,2012,7,33211,備前市,33,岡山県,98,0,0,0,0,0,0,40173600
大多府島,2013,7,33211,備前市,33,岡山県,111,0,0,0,0,0,0,39041221
大多府島,2014,7,33211,備前市,33,岡山県,104,0,0,0,0,0,0,38107725
大多府島,2015,7,33211,備前市,33,岡山県,102,0,0,0,0,0,0,38095548
大多府島,2016,7,33211,備前市,33,岡山県,101,0,0,0,0,0,0,37722427
大多府島,2017,7,33211,備前市,33,岡山県,92,0,0,0,0,0,0,37785972
大多府島,2018,7,33211,備前市,33,岡山県,85,0,0,0,0,0,0,38392197
大多府島,2019,7,33211,備前市,33,岡山県,83,0,0,0,0,0,0,38345203
大多府島,2020,7,33211,備前市,33,岡山県,82,0,0,0,0,0,0,38326682
頭島,1995,8,33342,日生町,33,岡山県,550,1,1,2004,0,2015,0,11861918
頭島,2000,8,33342,日生町,33,岡山県,,1,1,2004,0,2015,0,11051911
頭島,2001,8,33342,日生町,33,岡山県,506,1,1,2004,0,2015,0,10462327
頭島,2002,8,33342,日生町,33,岡山県,493,1,1,2004,0,2015,0,10358654
頭島,2003,8,33342,日生町,33,岡山県,484,1,1,2004,0,2015,0,9300346
頭島,2004,8,33342,日生町,33,岡山県,468,1,1,2004,1,2015,0,8545679
頭島,2005,8,33211,備前市,33,岡山県,463,1,1,2004,1,2015,0,44222532
頭島,2006,8,33211,備前市,33,岡山県,452,1,1,2004,1,2015,0,46734208
頭島,2007,8,33211,備前市,33,岡山県,434,1,1,2004,1,2015,0,46506237
頭島,2008,8,33211,備前市,33,岡山県,422,1,1,2004,1,2015,0,45984323
